symbol,display_name,exchange,asset_class,quote_asset,sector,enabled
POWERGRID.NS,Power Grid Corporation,NSE,equity_cash,INR,power,true
RECLTD.NS,REC Limited,NSE,equity_cash,INR,financial_services,true
RELIANCE.NS,Reliance Industries,NSE,equity_cash,INR,energy,true
SAIL.NS,SAIL,NSE,equity_cash,INR,metals,true
SBICARD.NS,SBI Card,NSE,equity_cash,INR,financial_services,true
SBILIFE.NS,SBI Life Insurance,NSE,equity_cash,INR,insurance,true
SBIN.NS,State Bank of India,NSE,equity_cash,INR,banking,true
SHRIRAMFIN.NS,Shriram Finance,NSE,equity_cash,INR,financial_services,true
SIEMENS.NS,Siemens,NSE,equity_cash,INR,industrials,true
SRF.NS,SRF,NSE,equity_cash,INR,chemicals,true
SUNPHARMA.NS,Sun Pharma,NSE,equity_cash,INR,pharma,true
SUZLON.NS,Suzlon Energy,NSE,equity_cash,INR,energy,true
TATACONSUM.NS,Tata Consumer Products,NSE,equity_cash,INR,fmcg,true
TATASTEEL.NS,Tata Steel,NSE,equity_cash,INR,metals,true
TCS.NS,Tata Consultancy Services,NSE,equity_cash,INR,it,true
TECHM.NS,Tech Mahindra,NSE,equity_cash,INR,it,true
TITAN.NS,Titan Company,NSE,equity_cash,INR,consumer_durables,true
TORNTPHARM.NS,Torrent Pharma,NSE,equity_cash,INR,pharma,true
TRENT.NS,Trent,NSE,equity_cash,INR,retail,true
TVSMOTOR.NS,TVS Motor,NSE,equity_cash,INR,auto,true
ULTRACEMCO.NS,UltraTech Cement,NSE,equity_cash,INR,cement,true
UNIONBANK.NS,Union Bank of India,NSE,equity_cash,INR,banking,true
VBL.NS,Varun Beverages,NSE,equity_cash,INR,beverages,true
VEDL.NS,Vedanta,NSE,equity_cash,INR,metals,true
VOLTAS.NS,Voltas,NSE,equity_cash,INR,consumer_durables,true
WIPRO.NS,Wipro,NSE,equity_cash,INR,it,true
AAVE_USDC,Aave USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
ADA_USDC,Cardano USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
ASTER_USDC,Aster USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
ATOM_USDC,Cosmos USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
AVAX_USDC,Avalanche USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
BCH_USDC,Bitcoin Cash USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
BERA_USDC,Berachain USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
BNB_USDC,BNB USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
BTC_USDC,Bitcoin USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
CHIP_USDC,Chip USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
DASH_USDC,Dash USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
DOGE_USDC,Dogecoin USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
EDEN_USDC,Eden USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
ENA_USDC,Ethena USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
ERA_USDC,Era USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
ETH_USDC,Ethereum USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
FET_USDC,Fetch.ai USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
GENIUS_USDC,Genius USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
HBAR_USDC,Hedera USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
ICP_USDC,Internet Computer USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
INJ_USDC,Injective USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
LINK_USDC,Chainlink USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
LTC_USDC,Litecoin USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
LUNC_USDC,Terra Classic USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
MITO_USDC,Mitosis USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
MORPHO_USDC,Morpho USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
NEAR_USDC,NEAR Protocol USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
NIL_USDC,Nillion USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
ONDO_USDC,Ondo USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
PAXG_USDC,PAX Gold USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
PENDLE_USDC,Pendle USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
PENGU_USDC,Pudgy Penguins USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
PEPE_USDC,Pepe USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
PLUME_USDC,Plume USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
RENDER_USDC,Render USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
SAGA_USDC,Saga USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
SEI_USDC,Sei USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
SOL_USDC,Solana USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
SOMI_USDC,Somnia USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
SUI_USDC,Sui USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
TAO_USDC,Bittensor USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
TIA_USDC,Celestia USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
TON_USDC,Toncoin USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
TRX_USDC,TRON USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
UNI_USDC,Uniswap USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
VIRTUAL_USDC,Virtuals Protocol USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
WLD_USDC,Worldcoin USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
XLM_USDC,Stellar USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
XRP_USDC,XRP USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
ZEC_USDC,Zcash USDC,BINANCE_SPOT,crypto_spot,USDC,crypto,true
AAVE_USDT,Aave USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
ADA_USDT,Cardano USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
ALLO_USDT,Allora USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
ASTER_USDT,Aster USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
AVAX_USDT,Avalanche USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
BCH_USDT,Bitcoin Cash USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
BNB_USDT,BNB USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
BTC_USDT,Bitcoin USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
CHZ_USDT,Chiliz USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
DASH_USDT,Dash USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
DEXE_USDT,DeXe USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
DOGE_USDT,Dogecoin USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
DOT_USDT,Polkadot USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
EDEN_USDT,Eden USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
ENA_USDT,Ethena USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
ERA_USDT,Era USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
ETH_USDT,Ethereum USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
FET_USDT,Fetch.ai USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
FIDA_USDT,Bonfida USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
GENIUS_USDT,Genius USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
HBAR_USDT,Hedera USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
INJ_USDT,Injective USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
LINK_USDT,Chainlink USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
LTC_USDT,Litecoin USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
LUNC_USDT,Terra Classic USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
MEGA_USDT,MegaETH USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
MITO_USDT,Mitosis USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
NEAR_USDT,NEAR Protocol USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
NIL_USDT,Nillion USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
ONDO_USDT,Ondo USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
PAXG_USDT,PAX Gold USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
PENGU_USDT,Pudgy Penguins USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
PEPE_USDT,Pepe USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
PLUME_USDT,Plume USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
RENDER_USDT,Render USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
SAGA_USDT,Saga USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
SAHARA_USDT,Sahara AI USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
SOL_USDT,Solana USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
SUI_USDT,Sui USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
SUPER_USDT,SuperVerse USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
TAO_USDT,Bittensor USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
TON_USDT,Toncoin USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
TRX_USDT,TRON USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
UNI_USDT,Uniswap USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
VIRTUAL_USDT,Virtuals Protocol USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
WLD_USDT,Worldcoin USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
XAUT_USDT,Tether Gold USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
XLM_USDT,Stellar USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
XRP_USDT,XRP USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
ZEC_USDT,Zcash USDT,BINANCE_SPOT,crypto_spot,USDT,crypto,true
